Year,Team,Payroll
2015, Los Angeles Dodgers,272789040.0
2015, New York Yankees,219282196.0
2015, Boston Red Sox,187407202.0
2015, Detroit Tigers,173813750.0
2015, San Francisco Giants,172672111.0
2015, Washington Nationals,164920505.0
2015, Los Angeles Angels,150933083.0
2015, Texas Rangers,142140873.0
2015, Philadelphia Phillies,135827500.0
2015, Toronto Blue Jays,122506600.0
2015, St. Louis Cardinals,120869458.0
2015, Seattle Mariners,119798060.0
2015, Chicago Cubs,119006885.0
2015, Cincinnati Reds,117197072.0
2015, Chicago White Sox,115238678.0
2015, Kansas City Royals,113618650.0
2015, Baltimore Orioles,110146097.0
2015, Minnesota Twins,108945000.0
2015, Milwaukee Brewers,105002536.0
2015, Colorado Rockies,102006130.0
2015, New York Mets,101409244.0
2015, San Diego Padres,100675896.0
2015, Atlanta Braves,97578565.0
2015, Arizona Diamondbacks,91518833.0
2015, Pittsburgh Pirates,88278500.0
2015, Cleveland Indians,86091175.0
2015, Oakland A's,86086667.0
2015, Tampa Bay Rays,76061707.0
2015, Houston Astros,70910100.0
2015, Miami Marlins,68479000.0
2014, Los Angeles Dodgers,235295219.0
2014, New York Yankees,203812506.0
2014, Philadelphia Phillies,180052723.0
2014, Boston Red Sox,162817411.0
2014, Detroit Tigers,162228527.0
2014, Los Angeles Angels,155692000.0
2014, San Francisco Giants,154185878.0
2014, Texas Rangers,136036172.0
2014, Washington Nationals,134704437.0
2014, Toronto Blue Jays,132628700.0
2014, Arizona Diamondbacks,112688666.0
2014, Cincinnati Reds,112390772.0
2014, St. Louis Cardinals,111020360.0
2014, Atlanta Braves,110897341.0
2014, Baltimore Orioles,107406623.0
2014, Milwaukee Brewers,103844806.0
2014, Colorado Rockies,95832071.0
2014, Seattle Mariners,92081943.0
2014, Kansas City Royals,92034345.0
2014, Chicago White Sox,91159254.0
2014, San Diego Padres,90094196.0
2014, New York Mets,89051758.0
2014, Chicago Cubs,89007857.0
2014, Minnesota Twins,85776500.0
2014, Oakland Athletics,83401400.0
2014, Cleveland Indians,82534800.0
2014, Pittsburgh Pirates,78111667.0
2014, Tampa Bay Rays,77062891.0
2014, Miami Marlins,47565400.0
2014, Houston Astros,44544174.0
2013,New York Yankees,228835490.0
2013,Los Angeles Dodgers,216597577.0
2013,Philadelphia Phillies,165385714.0
2013,Boston Red Sox,150655500.0
2013,Detroit Tigers,148414500.0
2013,San Francisco Giants,140264334.0
2013,Los Angeles Angels,127896250.0
2013,Chicago White Sox,119073277.0
2013,Toronto Blue Jays,117527800.0
2013,St. Louis Cardinals,115222086.0
2013,Texas Rangers,114090100.0
2013,Washington Nationals,114056769.0
2013,Cincinnati Reds,107491305.0
2013,Chicago Cubs,104304676.0
2013,Baltimore Orioles,90993333.0
2013,Atlanta Braves,89778192.0
2013,Arizona Diamondbacks,89100500.0
2013,Milwaukee Brewers,82976944.0
2013,Kansas City Royals,81491725.0
2013,Pittsburgh Pirates,79555000.0
2013,Cleveland Indians,77772800.0
2013,Minnesota Twins,75802500.0
2013,New York Mets,73396649.0
2013,Seattle Mariners,72031143.0
2013,Colorado Rockies,71924071.0
2013,San Diego Padres,67143600.0
2013,Oakland Athletics,60664500.0
2013,Tampa Bay Rays,57895272.0
2013,Miami Marlins,36341900.0
2013,Houston Astros,22062600.0
2012,New York Yankees,197962289.0
2012,Philadelphia Phillies,174538938.0
2012,Boston Red Sox,173186617.0
2012,Los Angeles Angels,154485166.0
2012,Detroit Tigers,132300000.0
2012,Texas Rangers,120510974.0
2012,Miami Marlins,118078000.0
2012,San Francisco Giants,117620683.0
2012,St. Louis Cardinals,110300862.0
2012,Milwaukee Brewers,97653944.0
2012,Chicago White Sox,96919500.0
2012,Los Angeles Dodgers,95143575.0
2012,Minnesota Twins,94085000.0
2012,New York Mets,93353983.0
2012,Chicago Cubs,88197033.0
2012,Atlanta Braves,83309942.0
2012,Cincinnati Reds,82203616.0
2012,Seattle Mariners,81978100.0
2012,Baltimore Orioles,81428999.0
2012,Washington Nationals,81336143.0
2012,Cleveland Indians,78430300.0
2012,Colorado Rockies,78069571.0
2012,Toronto Blue Jays,75489200.0
2012,Arizona Diamondbacks,74284833.0
2012,Tampa Bay Rays,64173500.0
2012,Pittsburgh Pirates,63431999.0
2012,Kansas City Royals,60916225.0
2012,Houston Astros,60651000.0
2012,Oakland Athletics,55372500.0
2012,San Diego Padres,55244700.0
2011,New York Yankees,201689030.0
2011,Philadelphia Phillies,172976381.0
2011,Boston Red Sox,161407476.0
2011,Los Angeles Angels,138998524.0
2011,Chicago White Sox,129285539.0
2011,Chicago Cubs,125480664.0
2011,New York Mets,120147310.0
2011,San Francisco Giants,118216333.0
2011,Minnesota Twins,112737000.0
2011,Detroit Tigers,105705232.0
2011,St. Louis Cardinals,105433572.0
2011,Los Angeles Dodgers,103788990.0
2011,Texas Rangers,92299265.0
2011,Colorado Rockies,87998071.0
2011,Atlanta Braves,87003192.0
2011,Seattle Mariners,86424600.0
2011,Milwaukee Brewers,85497333.0
2011,Baltimore Orioles,85304038.0
2011,Cincinnati Reds,76181365.0
2011,Houston Astros,70694000.0
2011,Oakland Athletics,66536500.0
2011,Washington Nationals,63681929.0
2011,Toronto Blue Jays,62517800.0
2011,Florida Marlins,56944000.0
2011,Arizona Diamondbacks,53639833.0
2011,Cleveland Indians,49188867.0
2011,Pittsburgh Pirates,46047000.0
2011,San Diego Padres,45869140.0
2011,Tampa Bay Rays,41932171.0
2011,Kansas City Royals,36126400.0
2010,New York Yankees,206333389.0
2010,Boston Red Sox,162747333.0
2010,Chicago Cubs,146859000.0
2010,Philadelphia Phillies,141927381.0
2010,New York Mets,132701445.0
2010,Detroit Tigers,122864929.0
2010,Chicago White Sox,108273197.0
2010,Los Angeles Angels,105013667.0
2010,Seattle Mariners,98376667.0
2010,San Francisco Giants,97828833.0
2010,Minnesota Twins,97559167.0
2010,Los Angeles Dodgers,94945517.0
2010,St. Louis Cardinals,93540753.0
2010,Houston Astros,92355500.0
2010,Atlanta Braves,84423667.0
2010,Colorado Rockies,84227000.0
2010,Baltimore Orioles,81612500.0
2010,Milwaukee Brewers,81108279.0
2010,Cincinnati Reds,72386544.0
2010,Kansas City Royals,72267710.0
2010,Tampa Bay Rays,71923471.0
2010,Toronto Blue Jays,62689357.0
2010,Washington Nationals,61425000.0
2010,Cleveland Indians,61203967.0
2010,Arizona Diamondbacks,60718167.0
2010,Florida Marlins,55641500.0
2010,Texas Rangers,55250545.0
2010,Oakland Athletics,51654900.0
2010,San Diego Padres,37799300.0
2010,Pittsburgh Pirates,34943000.0
2009,New York Yankees,201449289.0
2009,New York Mets,135773988.0
2009,Chicago Cubs,135050000.0
2009,Boston Red Sox,122696000.0
2009,Detroit Tigers,115085145.0
2009,Los Angeles Angels,113709000.0
2009,Philadelphia Phillies,113004048.0
2009,Houston Astros,102996415.0
2009,Los Angeles Dodgers,100458101.0
2009,Seattle Mariners,98904167.0
2009,Atlanta Braves,96726167.0
2009,Chicago White Sox,96068500.0
2009,St. Louis Cardinals,88528411.0
2009,San Francisco Giants,82161450.0
